"EventId","DER_mass_MMC","DER_mass_transverse_met_lep","DER_mass_vis","DER_pt_h","DER_deltaeta_jet_jet","DER_mass_jet_jet","DER_prodeta_jet_jet","DER_deltar_tau_lep","DER_pt_tot","DER_sum_pt","DER_pt_ratio_lep_tau","DER_met_phi_centrality","DER_lep_eta_centrality","PRI_tau_pt","PRI_tau_eta","PRI_tau_phi","PRI_lep_pt","PRI_lep_eta","PRI_lep_phi","PRI_met","PRI_met_phi","PRI_met_sumet","PRI_jet_num","PRI_jet_leading_pt","PRI_jet_leading_eta","PRI_jet_leading_phi","PRI_jet_subleading_pt","PRI_jet_subleading_eta","PRI_jet_subleading_phi","PRI_jet_all_pt","Label"
100443,125.819,3.187,65.327,62.919,0.899,108.836,-0.088,2.556,31.911,176.473,0.824,1.107,0.57,35.648,0.036,-1.077,29.374,-0.674,1.379,55.241,1.3,249.729,2,77.329,0.112,-2.076,34.122,-0.787,0.376,111.451,"s"
100590,113.36,34.392,80.076,15.702,-999,-999,-999,3.048,27.017,119.811,0.876,-1.414,-999,41.1,-0.724,0.471,36.001,-1.311,-2.52,22.667,2.471,161.074,1,42.709,-0.893,-0.876,-999,-999,-999,42.709,"b"
100806,187.613,13.907,147.223,106.779,-999,-999,-999,3.408,68.532,288.389,4.716,-1.394,-999,25.716,0.067,-2.431,121.263,1.625,0.6,11.862,0.969,361.294,1,141.41,0.547,-2.042,-999,-999,-999,141.41,"b"
101102,110.112,43.351,59.389,211.773,0.165,95.545,-0.005,1.112,44.049,351.437,0.553,0.723,0,69.716,-0.035,-1.144,38.557,-1.019,-0.626,109.97,-1.304,458.522,2,147.633,-0.123,1.896,95.531,0.042,2.67,243.164,"s"
101205,76.263,30.113,61.291,5.051,-999,-999,-999,2.526,5.051,63.65,0.861,-1.399,-999,34.207,-0.213,2.108,29.443,-0.564,-0.393,17.206,-1.859,85.795,0,-999,-999,-999,-999,-999,-999,0,"b"
101292,86.035,76.032,83.213,45.387,2.494,169.908,-0.248,1.968,32.212,230.323,0.385,-1.406,0.003,76.03,-1.057,-3.116,29.297,-1.838,-1.309,57.318,1.067,270.017,3,51.928,2.39,0.138,38.378,-0.104,-2.905,124.996,"b"
101626,151.926,32.301,102.139,2.262,-999,-999,-999,2.745,2.262,108.436,0.558,-1.369,-999,69.581,1.632,0.703,38.855,1.754,-2.838,38.646,-1.978,126.286,0,-999,-999,-999,-999,-999,-999,0,"s"
101652,162.415,80.795,95.802,9.641,-999,-999,-999,3.419,9.641,77.615,1.931,1.325,-999,26.479,-2.403,0.407,51.136,-0.885,-2.812,32.077,0.472,89.789,0,-999,-999,-999,-999,-999,-999,0,"b"
101770,140.108,0.871,97.586,109.435,-999,-999,-999,1.929,5.161,208.504,0.827,0.974,-999,52.686,-1.197,-0.61,43.559,0.375,0.508,32.381,0.531,264.576,1,112.26,-1.764,-3.035,-999,-999,-999,112.26,"s"
101874,-999,91.886,75.317,20.128,-999,-999,-999,2.42,20.128,65.342,1.63,-1.211,-999,24.841,-0.01,1.624,40.501,-1.608,-0.192,52.937,-3.084,100.922,0,-999,-999,-999,-999,-999,-999,0,"b"
102021,112.047,2.361,79.748,4.668,-999,-999,-999,3.344,4.668,66.789,0.799,1.41,-999,37.116,2.283,1.078,29.673,1.034,-2.024,3.441,-1.789,124.076,0,-999,-999,-999,-999,-999,-999,0,"b"
102699,126.121,5.591,83.287,12.185,-999,-999,-999,3.191,12.185,74.435,0.598,-1.187,-999,46.59,1.082,0.342,27.845,-0.03,-2.649,30.914,-2.84,137.632,0,-999,-999,-999,-999,-999,-999,0,"s"
102924,102.079,4.742,77.886,27.779,-999,-999,-999,2.724,27.779,79.886,1.399,-0.1,-999,33.301,-0.324,3.075,46.585,-0.016,-0.502,8.918,-0.268,159.045,0,-999,-999,-999,-999,-999,-999,0,"b"
103281,112.275,61.828,61.12,48.592,-999,-999,-999,2.541,0.746,104.737,1.336,0.995,-999,23.856,2.072,-2.2,31.866,0.849,1.857,37.184,-2.196,108.023,1,49.015,0.132,0.411,-999,-999,-999,49.015,"s"
