"EventId","DER_mass_MMC","DER_mass_transverse_met_lep","DER_mass_vis","DER_pt_h","DER_deltaeta_jet_jet","DER_mass_jet_jet","DER_prodeta_jet_jet","DER_deltar_tau_lep","DER_pt_tot","DER_sum_pt","DER_pt_ratio_lep_tau","DER_met_phi_centrality","DER_lep_eta_centrality","PRI_tau_pt","PRI_tau_eta","PRI_tau_phi","PRI_lep_pt","PRI_lep_eta","PRI_lep_phi","PRI_met","PRI_met_phi","PRI_met_sumet","PRI_jet_num","PRI_jet_leading_pt","PRI_jet_leading_eta","PRI_jet_leading_phi","PRI_jet_subleading_pt","PRI_jet_subleading_eta","PRI_jet_subleading_phi","PRI_jet_all_pt","Label"
100106,91.616,0.245,62.842,13.974,3.655,448.409,-1.74,3.102,7.63,203.75,0.956,0.618,0.396,32.02,0.66,0.988,30.618,0.495,-2.198,15.291,-2.187,245.168,2,78.35,-3.092,0.136,62.761,0.563,3.065,141.111,"s"
100137,-999,64.479,48.897,3.7,-999,-999,-999,2.098,3.7,54.684,1.535,-1.388,-999,21.569,-0.143,1.756,33.115,0.605,-2.568,35.557,-0.125,70.504,0,-999,-999,-999,-999,-999,-999,0,"b"
100191,95.177,32.628,60.916,85.032,0.019,35.411,0.336,1.927,1.154,161.346,0.599,1.371,0,44.151,0.325,-2.794,26.428,1.271,1.81,36.069,2.924,143.094,2,54.802,-0.589,-0.522,35.965,-0.57,0.219,90.767,"b"
100321,97.881,11.288,71.38,24.372,-999,-999,-999,3.09,24.372,69.508,1.031,-1.404,-999,34.229,-1.814,-2.111,35.279,-2.285,1.119,24.201,0.73,113.386,0,-999,-999,-999,-999,-999,-999,0,"s"
100352,73.045,48.005,43.578,144.614,3.425,346.612,-1.545,1.053,51.592,212.209,0.617,0.686,0.417,52.959,-0.269,-2.6,32.699,0.423,-1.805,70.826,-2.85,402.007,2,73.709,0.535,1.264,52.842,-2.891,-0.228,126.551,"b"
100372,133.594,66.06,101.26,13.499,0.313,104.836,5.894,2.607,9.843,208.51,1.421,-1.411,0,43.418,-0.666,2.438,61.685,-0.302,-0.143,23.768,-2.224,371.728,2,55.965,-2.589,1.698,47.442,-2.276,-1.601,103.407,"b"
100491,76.789,37.824,59.34,0.998,-999,-999,-999,2.824,0.998,54.628,1.29,-1.402,-999,23.852,0.287,0.771,30.777,-0.689,-1.879,13.932,2.101,132.119,0,-999,-999,-999,-999,-999,-999,0,"b"
100543,105.909,73.288,84.378,45.435,-999,-999,-999,2.283,1.462,135.404,2.436,-0.498,-999,26.555,-0.369,0.018,64.68,0.714,-1.991,21.341,0.819,145.406,1,44.168,-1.624,1.917,-999,-999,-999,44.168,"b"
100576,152.014,109.572,87.772,2.28,-999,-999,-999,2.818,2.28,97.897,2.558,-1.296,-999,27.513,-0.718,-1.152,70.383,-0.417,2.328,43.093,-0.609,161.068,0,-999,-999,-999,-999,-999,-999,0,"b"
100649,98.498,14.976,75.441,173.953,0.393,48.311,4.135,1.101,32.236,352.914,2.339,1.253,0.019,47.074,1.758,-0.708,110.111,1.652,0.389,35.896,0.15,368.727,3,110.153,1.846,-3.068,44.965,2.239,2.781,195.729,"b"
